timeframe,initial_stop_pips,trail_pips,total_trades,win_rate_pct,profit_factor,expectancy_pips,expectancy_usd_est,max_drawdown_pips,largest_win_pips,largest_loss_pips,stopped_initial,stopped_trailing_profit
M1,5,5,1732,2.4,0.47,-7.81,-0.08,13822.8,754.5,-15.0,1691,41
M1,5,7,1732,2.4,0.46,-7.86,-0.08,13898.8,752.5,-15.0,1691,41
M1,5,10,1732,2.4,0.46,-7.93,-0.08,14012.9,749.5,-15.0,1691,41
M1,7,5,1732,2.7,0.47,-8.75,-0.09,15415.1,754.5,-17.0,1686,46
M1,7,7,1732,2.7,0.47,-8.8,-0.09,15505.1,752.5,-17.0,1686,46
M1,7,10,1732,2.7,0.46,-8.88,-0.09,15640.1,749.5,-17.0,1686,46
M1,10,5,1732,4.0,0.57,-8.26,-0.08,14549.5,927.2,-20.0,1662,70
M1,10,7,1732,4.0,0.57,-8.34,-0.08,14687.5,925.2,-20.0,1662,70
M1,10,10,1732,4.0,0.56,-8.47,-0.08,14894.5,922.2,-20.0,1662,70
M5,5,5,344,2.9,1.75,10.97,0.11,1204.7,2204.8,-15.0,334,10
M5,5,7,344,2.9,1.75,10.91,0.11,1206.7,2202.8,-15.0,334,10
M5,5,10,344,2.9,1.74,10.82,0.11,1209.7,2199.8,-15.0,334,10
M5,7,5,344,2.9,1.55,9.03,0.09,1394.7,2204.8,-17.0,334,10
M5,7,7,344,2.9,1.54,8.97,0.09,1396.7,2202.8,-17.0,334,10
M5,7,10,344,2.9,1.54,8.88,0.09,1399.7,2199.8,-17.0,334,10
M5,10,5,344,2.9,1.31,6.11,0.06,1679.7,2204.8,-20.0,334,10
M5,10,7,344,2.9,1.31,6.05,0.06,1681.7,2202.8,-20.0,334,10
M5,10,10,344,2.9,1.31,5.97,0.06,1684.7,2199.8,-20.0,334,10
